ID,Start time,Completion time,Email,Name,What is your district of residence?,What is your age?,What's your gender?,What is your current industry experience Level? ,What is your Working Culture?,Select your working district,What is your Role in your company?,Does your Company have a Sri Lankan office?,Is your company salary pegged?,Do you have any working experience in Global Software Development?,Are the Consequences of COVID-19 affect your Productivity in global Software Development?,What are the Productivity affecting issues you faced during the COVID-19 time?,How did you maintain your Productivity at a good level during the COVID-19 time?,Is Health-related problems affect your Productivity in Global Software Development?,What are the health issues you face regularly?,Are the Consequences of Sri Lanka’s economic crisis affect your Productivity in Global Software Development?,What are the Productivity affecting issues you are facing during this Sri Lanka’s economic crisis Period?,How do you maintain your Productivity during this Sri Lanka’s economic crisis time?,Is your lack of Individual Soft skills affect your Productivity in global Software Development?,What are the soft skills you think that can support and increase your Productivity?,Is your low Paying Structure affect your Productivity in global Software Development?,Are your slowest Equipment or Tools (Gadgets) increase your Productivity in global Software Development?,Are the Tools (equipment or gadgets) provided by your Company?,Rate your computer speed.,Is your slow Network Quality affect your Productivity in global Software Development?,What type of network provider are you using for your work?,Rate the Internet speed.,"Is your distractive Workplace Ergonomics affect your Productivity in global Software Development?
(If you are working from your home please consider your home is your workplace)
",Are poor Training & Career Development Opportunities affect your Productivity in global Software Development?,Is your Work Pressure affect your Productivity in global Software Development?,Does Distraction at the workplace affect your Productivity in global Software Development?,What kind of Distractions Do you have in your workplace?,Is lack of Technical Skills in New Technologies affect your Productivity in global Software Development?,How do you maintain your productivity without familiarity in new technologies?,Language issues,Lack of Management of time Difference,Please Mention any other factors except the above (If you have any)?,Are the Consequences of COVID-19 affect your Productivity in Software Development Process?,What are the Productivity affecting issues you faced during the COVID-19 time?2,How did you maintain your Productivity at a good level during the COVID-19 time?2,Is Health-related problems affect your Productivity in Software Development Process?,What are the health issues you face regularly?2,Are the Consequences of Sri Lanka’s economic crisis affect your Productivity in Software Development Process?,What are the Productivity affecting issues you are facing during this Sri Lanka’s economic crisis Period?2,How do you maintain your Productivity during this Sri Lanka’s economic crisis time?2,Is your lack of Individual Soft skills affect your Productivity in software Development process?,What are the soft skills you think that can support and increase your Productivity?2,Is your low Paying Structure affect your Productivity in Software Development Process?,Are your slowest Equipment or Tools (Gadgets) increase your Productivity in Software Development Process?,Are the Tools (equipment or gadgets) provided by your Company?2,Rate your computer speed.2,Is your low Network Quality affect your Productivity in Software Development process?,What type of network provider are you using for your work?2,Rate the Internet speed.2,"Is your distractive Workplace Ergonomics affect your Productivity in Software Development process? 
(If you are working from your home please consider your home is your workplace)",Are your poor Training & Career Development Opportunities affect your Productivity in Software Development Process?,Is your Work Pressure affect your Productivity in Software Development Process?,Does Distraction at the workplace affect your Productivity in Software Development process?,What kind of Distraction Do you have in your workplace?,Is lack of Technical Skills in New Technologies affect your Productivity in Software Development process?,How do you maintain your productivity without familiarity in new technologies?2,Please Mention any other factors except the above (If you have any)?2,Monthly Salary,Technology Platform,Temperature at the workplace,Air Quality at the workplace,Lighting at the workplace,Hydration Level at the Workplace,Working Space Layout and Design,Flexibility level at workplace,Duration of the software project,Network Quality at workplace,Lack of Control,Lack of culture understanding in teams,Lack of trust,Geographical Distance,Job Security,Lack of Knowledge management and transfer among teams,Relationship with Colleagues and Senior employees,Outing with staffs,Leisure-time activities,Arrange some Free Certifacate Courses,Knowledge Sharing Sessions,Rate your own individual productivity level (from your own perspective).,What is your average line of code per day?,How many average story points do you burn in one day?,How often does your code fail in the testing phase?,How often do you take extra time to complete your tasks?
12,10/23/2022 14:21,10/23/2022 14:28,anonymous,,Gampaha,25,Male,Internship,Hybrid,Colombo,Software Engineer,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Working for an exact time frame ,No,,Yes,power cuts are the biggest issue,,Yes,Communication Skills;Teamwork Skills;Critical Thinking Skills;Problem-Solving Skills;Creativity Skills;Interpersonal Skills;,Yes,Yes,No,5,Yes,SLTMobitel,5,Yes,No,Yes,Yes,It's an open workplace and i can hear other people talking and it gets me distracted sometimes,Yes,,,Neutral,Good,Good,Good,Good,Good,Good,Good,Very Good,Very Good,,,,,Neutral,,Very Good,Neutral,Very Good,Neutral,Very Good,Very Good,101-200 lines,2 points,Never,Never
13,10/23/2022 14:57,10/23/2022 15:02,anonymous,,Jaffna,24,Male,Internship,Work from Office,Jaffna,Software Engineer,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,I'm learn a lot during covid-19 period,No,,No,,Working on remote projects,Yes,Teamwork Skills;Communication Skills;,Yes,Yes,No,5,Yes,Dialog,2,No,Yes,No,No,,Yes,,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,Neutral,,Neutral,Neutral,Neutral,Neutral,Neutral,Very Bad,26-50 lines,1 point,Always,Often
14,10/23/2022 20:36,10/23/2022 20:40,anonymous,,Jaffna,20,Male,Internship,Hybrid,Jaffna,Software Engineer,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Unavailability of electronic equipment due to chip shortage ,,Yes,Stress ,Yes,Salary isn't enough to get by ,,Yes,Problem-Solving Skills;Adaptability Skills;,Yes,Yes,No,4,Yes,SLTMobitel,4,Yes,Yes,Yes,No,,Yes,,,Neutral,Neutral,Neutral,Good,Neutral,Good,Neutral,Very Good,Good,Neutral,,,,,Bad,,Bad,Very Bad,Bad,Good,Good,Bad,51-100 lines,2 points,Always,Often
15,10/24/2022 12:17,10/24/2022 12:34,anonymous,,Ampara,25,Female,Internship,Work from Home,,Database administrator ,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,I am working on remote company. SO coroma doesn't affect to the company,No,,No,,Company deside to pay salary pegged with dollars ,Yes,Communication Skills;Critical Thinking Skills;,Yes,Yes,No,3,Yes,Dialog,3,Yes,Yes,Yes,No,,Yes,,,Good,Good,Neutral,Neutral,Neutral,Neutral,Neutral,Very Good,Very Good,Neutral,,,,,Good,,Good,Very Good,Very Good,Very Good,Very Good,Good,51-100 lines,2 points,Rarely,Sometimes
16,10/24/2022 13:01,10/24/2022 13:08,anonymous,,Jaffna,26,Male,Less than 2 years,Hybrid,Jaffna,Software Engineer,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Team resources affected with disease hence team productivity goes down,,Yes,Obesity,Yes,resources left,,Yes,Work Ethic;Communication Skills;,No,No,No,3,Yes,Dialog,3,Yes,Yes,Yes,Yes,Too many lengthy meetings,Yes,,,Neutral,Neutral,Good,Neutral,Neutral,Neutral,Good,Good,Neutral,Good,,,,,Neutral,,Very Good,Bad,Bad,Neutral,Good,Bad,26-50 lines,1 point,Often,Often
17,10/24/2022 15:30,10/24/2022 15:49,anonymous,,Jaffna,23,Male,Internship,Hybrid,Jaffna,Software Developer,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,"Most of the product will related about online, e-commerce.",No,,Yes,Cost of software products,,No,,Yes,Yes,No,4,Yes,SLTMobitel,4,Yes,Yes,Yes,Yes,Speaking around work places ,Yes,,,Very Bad,Bad,Neutral,Neutral,Good,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,Neutral,,Neutral,Neutral,Neutral,Neutral,Neutral,Very Bad,0-25 lines,1 point,Always,Always
18,10/24/2022 15:55,10/24/2022 16:01,anonymous,,Puttalam,24,Female,Internship,Work from Office,Colombo,Business Analyst,Yes,Yes,Yes,Yes,Low quality ,,No,,Yes,Technology upgrading related problems ,,Yes,Communication Skills;Interpersonal Skills;Teamwork Skills;Leadership Skills;Critical Thinking Skills;Adaptability Skills;Creativity Skills;Time Management Skills;,Yes,Yes,Yes,3,Yes,SLTMobitel,3,Yes,Yes,Yes,No,,Yes,,No,Yes,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Good,Good,Yes,Yes,No,Yes,Very Good,Yes,Very Good,Good,Good,Good,Very Good,Good,101-200 lines,3 points,Sometimes,Sometimes
19,10/26/2022 13:33,10/26/2022 13:38,anonymous,,Jaffna,24,Male,Less than 2 years,Work from Office,Jaffna,Project Manager,Yes,Yes,Yes,No,,Online sesion,No,,No,,Limite product ,Yes,Communication Skills;Interpersonal Skills;Teamwork Skills;Leadership Skills;Critical Thinking Skills;Work Ethic;Adaptability Skills;Problem-Solving Skills;Creativity Skills;Time Management Skills;,Yes,Yes,Yes,4,Yes,SLTMobitel,4,Yes,Yes,Yes,No,,Yes,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Good,Good,Good,Good,Good,Good,Neutral,Bad,Very Good,No,No,Yes,Yes,Good,Yes,Good,Good,Good,Good,Good,Very Good,above 200 lines,above 5 points,Never,Never
20,10/26/2022 13:21,10/26/2022 14:00,anonymous,,Colombo,25,Male,Less than 2 years,Hybrid,Colombo,Software Engineer,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Training and team working is not as good as being physical,,Yes,My movement during the work time is extremely limited.,No,,Try to adapt to hybrid lifestyle and work,No,,No,Yes,Yes,5,Yes,SLTMobitel,3,Yes,Yes,Yes,Yes,"Family members influence and the thought that I qm not physically watch over
",Yes,,,Good,Good,Good,Good,Very Good,Very Good,Bad,Good,Neutral,Bad,,,,,Good,,Good,Neutral,Neutral,Good,Good,Neutral,51-100 lines,3 points,Sometimes,Rarely
21,10/26/2022 14:00,10/26/2022 14:07,anonymous,,Jaffna,25,Male,Internship,Hybrid,Colombo,Data Engineer,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Lack of focus ,,No,,Yes,I can not reach some sort of technologies.,,Yes,Adaptability Skills;Time Management Skills;Communication Skills;,No,Yes,Yes,3,Yes,Dialog,2,Yes,Yes,Yes,Yes,Noise level ,Yes,,,Neutral,Good,Neutral,Good,Very Good,Very Good,Good,Neutral,Neutral,Bad,,,,,Good,,Neutral,Bad,Neutral,Bad,Neutral,Very Bad,51-100 lines,2 points,Always,Often
22,10/26/2022 14:06,10/26/2022 14:12,anonymous,,Jaffna,28,Male,2 to 4 years,Work from Home,,Software Engineer,Yes,Yes,Yes,No,,Nothing ,No,,No,,Nothing ,No,,No,No,No,5,No,SLTMobitel,5,No,No,No,No,,No,Nothing ,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,Very Good,Good,Good,Good,Very Good,Good,Very Good,Very Good,Very Good,No,No,Yes,No,Very Good,Yes,Good,Neutral,Good,Very Bad,Good,Neutral,51-100 lines,3 points,Often,Often
23,10/26/2022 14:24,10/26/2022 14:30,anonymous,,Vavuniya,28,Female,2 to 4 years,Work from Home,,Software Engineer,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,I worked more in covid time because I had enough free time,Yes,Covid,Yes,"Didn’t get pegged salary,got an idea to move abroad so focusing on that",,Yes,Work Ethic;Problem-Solving Skills;Time Management Skills;Leadership Skills;Teamwork Skills;,Yes,Yes,Yes,4,Yes,SLTMobitel,4,Yes,Yes,Yes,Yes,Family conversation ,Yes,,,Bad,Neutral,Neutral,Neutral,Good,Good,Very Bad,Neutral,Very Bad,Good,,,,,Neutral,,Bad,Very Bad,Very Bad,Very Bad,Very Bad,Bad,51-100 lines,2 points,Often,Always
24,10/26/2022 15:17,10/26/2022 15:23,anonymous,,Ratnapura,24,Male,Less than 2 years,Work from Home,,Software Engineer,Yes,Yes,Yes,Yes,Productivity is increased with starting of work from home. because no time limit we can work any time we need without any pressure,,No,,No,,by reducing the expences,Yes,Interpersonal Skills;Communication Skills;Teamwork Skills;Leadership Skills;Time Management Skills;,Yes,Yes,No,5,Yes,Dialog,4,Yes,Yes,Yes,No,,No,start become familier with new technologies,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Good,Good,Good,Good,Good,Good,Good,Good,Neutral,Yes,Yes,Yes,Yes,Good,Yes,Good,Very Bad,Bad,Neutral,Neutral,Neutral,51-100 lines,3 points,Rarely,Often
25,10/26/2022 15:06,10/26/2022 15:25,anonymous,,Mullaitivu,23,Male,Internship,Hybrid,Colombo,Software Engineer,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"In that COVID 19 pandemic period, all of the Academic activities are conducted through online. We don't have an experience or participation to some events and academic stuff.. ",,No,,Yes,"During this economic crisis, some of the companies are rarely getting the new projects, so that's why lots of employees lost their job. For me, during this crisis situation I could get the foriegn projects",,Yes,Communication Skills;Interpersonal Skills;Teamwork Skills;Leadership Skills;Problem-Solving Skills;Creativity Skills;Time Management Skills;,Yes,Yes,No,3,Yes,Airtel,4,Yes,Yes,Yes,No,,Yes,,,Neutral,Good,Neutral,Neutral,Good,Good,Good,Good,Neutral,Good,,,,,Good,,Good,Good,Good,Neutral,Good,Neutral,51-100 lines,2 points,Often,Rarely
26,10/26/2022 15:41,10/26/2022 15:47,anonymous,,Gampaha,26,Male,2 to 4 years,Work from Home,,Software Engineer,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Travelling time converted into productivity time,Yes,Eye issues,No,,Because of Work from home,Yes,Communication Skills;Interpersonal Skills;Teamwork Skills;Leadership Skills;Critical Thinking Skills;Adaptability Skills;Problem-Solving Skills;Creativity Skills;Time Management Skills;,No,Yes,Yes,4,Yes,Dialog,3,Yes,No,Yes,No,,Yes,,,Bad,Neutral,Neutral,Neutral,Neutral,Neutral,Bad,Good,Good,Neutral,,,,,Neutral,,Good,Very Bad,Very Bad,Bad,Neutral,Bad,51-100 lines,3 points,Always,Often
27,10/26/2022 15:45,10/26/2022 15:53,anonymous,,Mannar,25,Male,Less than 2 years,Work from Office,Gampaha,Business Analyst,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"Lack of resources when the curfew was imposed. 
Work time and personal time were merged. ",,No,,Yes,"Fuel shortage 
Quality of the food is doubtful. 
",,Yes,Communication Skills;Teamwork Skills;Critical Thinking Skills;Problem-Solving Skills;Time Management Skills;,No,Yes,Yes,3,Yes,Dialog,3,Yes,No,Yes,No,,Yes,,,Neutral,Good,Good,Good,Good,Neutral,Good,Good,Good,Neutral,,,,,Good,,Good,Neutral,Neutral,Neutral,Neutral,Very Bad,26-50 lines,1 point,Always,Always
28,10/26/2022 17:16,10/26/2022 17:23,anonymous,,Ampara,26,Male,Less than 2 years,Hybrid,Colombo,Software Engineer,Yes,Yes,Yes,No,,We can work from home at that time period.,No,,No,,Focusing on my workload at the office hours,Yes,Communication Skills;Interpersonal Skills;Teamwork Skills;Leadership Skills;Critical Thinking Skills;Work Ethic;Adaptability Skills;Problem-Solving Skills;Creativity Skills;Time Management Skills;,No,Yes,Yes,4,Yes,Company WIFI,2,Yes,Yes,Yes,No,,Yes,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Good,Neutral,Neutral,Good,Neutral,Neutral,Neutral,No,No,No,No,Neutral,Yes,Neutral,Neutral,Neutral,Neutral,Neutral,Very Bad,26-50 lines,1 point,Always,Always
29,10/26/2022 17:06,10/26/2022 17:26,anonymous,,Matara,26,Female,Internship,Work from Office,Colombo,Software Developer,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Health related problems,,No,,Yes,"lack of public transport
Increase the cost of living",,Yes,Time Management Skills;Problem-Solving Skills;Communication Skills;,Yes,Yes,Yes,1,Yes,Company WIFI,3,Yes,Yes,Yes,No,,Yes,,,Bad,Neutral,Good,Good,Good,Good,Good,Neutral,Good,Good,,,,,Good,,Good,Good,Good,Good,Good,Neutral,51-100 lines,3 points,Rarely,Rarely
30,10/26/2022 17:23,10/26/2022 17:30,anonymous,,Jaffna,25,Female,Internship,Work from Home,,Software Engineer,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Safety  first,No,,No,,We use mask and sanitizer  and maintain good health,No,,No,Yes,Yes,4,Yes,Dialog,3,No,No,No,No,,Yes,,,Neutral,Good,Good,Good,Good,Good,Good,Good,Good,Good,,,,,Good,,Good,Good,Good,Good,Good,Good,101-200 lines,above 5 points,Rarely,Sometimes
31,10/26/2022 17:32,10/26/2022 17:38,anonymous,,Kandy,25,Female,2 to 4 years,Hybrid,Colombo,Quality Assurance,Yes,Yes,Yes,Yes,Internet connection issues while WFH. ,,Yes,Eye issues ,No,,Working in a hybrid way.,Yes,Communication Skills;Time Management Skills;,Yes,Yes,Yes,4,Yes,SLTMobitel,3,Yes,Yes,Yes,Yes,Noises of other employees,Yes,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,Neutral,Good,Very Good,Very Good,Very Good,Good,Good,Neutral,Bad,No,No,Yes,Yes,Good,Yes,Good,Very Good,Very Good,Good,Good,Neutral,26-50 lines,1 point,Rarely,Sometimes
