residence	age	gender	experience_level	working_culture	working_district	has_office	is_pegged	is_covid_gsd	is_health_gsd	is_economic_crisis_gsd	is_soft_skills_gsd	is_paying_structure_gsd	is_tools_gsd	is_from_company_gsd	computer_speed_gsd	is_network_speed_gsd	net_speed_gsd	is_ergonomics_gsd	is_training_gsd	is_work_pressure_gsd	is_distraction_gsd	is_tech_skill_gsd	is_language_gsd	is_time_gsd	salary_rate	technology_rate	temperature_rate	air_rate	light_rate	hydration_rate	workspace_rate	flexibility_rate	duration_rate	net_rate	is_control_gsd	is_culture_gsd	is_trust_gsd	is_distance_gsd	security_rate	is_knowledge_gsd	relationship_rate	outing_rate	leisure_rate	certificates_rate	knowledge_share_rate	productivity_rate	avg_loc	avg_story_points	code_fail_rate	extra_time_rate
5	4	1	4	3.0	4	5	5	1	5	1	1	1	5	1	5	1	5	1	1	1	5	5	1	1	3	2	5	5	5	5	2	5	5	5	1	1	1	1	2	1	2	3	2	3	2	3	4	2	3	4
5	4	5	1	1.0	4	5	5	5	1	5	5	5	5	5	4	5	3	5	5	5	1	5	1	1	2	2	3	2	5	5	5	5	5	3	1	5	5	5	2	5	2	5	5	5	5	2	4	2	4	4
23	5	1	5	3.0	21	5	5	5	1	5	5	5	5	5	4	5	3	5	5	5	1	1	5	5	2	3	3	3	3	3	3	2	2	1	5	5	5	5	2	5	2	2	2	1	1	1	3	1	3	3
6	4	1	2	5.0	4	5	5	5	1	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	2	3	2	2	2	2	2	3	1	2	5	5	5	5	2	5	2	2	1	3	1	1	3	1	3	1
14	4	5	3	3.0	12	5	5	1	5	5	5	5	5	5	4	5	2	5	5	5	5	5	5	5	2	2	2	2	2	2	2	2	2	2	1	1	1	5	2	1	2	2	2	2	2	2	4	3	4	5
8	4	5	4	5.0	4	5	1	5	5	1	1	5	5	5	5	5	5	1	5	5	1	1	5	5	3	3	3	3	3	3	3	3	3	3	5	5	5	5	3	5	3	3	3	3	3	3	4	2	5	3
6	3	1	3	3.0	5	5	5	1	1	1	1	1	5	1	4	5	4	5	5	5	1	5	1	1	2	2	5	5	5	5	5	5	5	5	5	1	5	1	5	5	3	4	3	5	5	1	3	1	1	3
7	3	5	4	1.0	4	5	5	1	1	1	1	5	5	5	3	5	4	5	5	5	5	5	5	1	3	3	2	2	2	2	2	2	3	3	1	1	1	5	2	5	2	2	3	1	1	1	3	2	3	1
4	3	5	3	1.0	6	5	5	5	1	1	1	5	1	5	5	1	5	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	2	2	2	2	2	3	4	3	4	4
6	4	5	1	3.0	5	5	1	1	1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	2	1	2	3	3	3	2	2	2	1	1	1	1	2	5	1	1	1	2	2	4	1	1	1	1
11	4	5	1	3.0	9	5	5	1	1	5	1	5	5	1	4	5	4	5	5	5	1	5	5	5	2	3	5	5	5	5	2	2	5	3	1	1	5	1	2	5	2	3	2	3	3	3	4	3	4	5
10	3	5	4	3.0	8	5	1	5	5	5	5	5	5	5	4	5	3	5	1	5	5	5	5	1	3	2	3	5	3	3	4	5	3	1	1	1	1	1	3	5	3	2	2	3	2	3	2	5	4	5
7	4	5	1	3.0	6	1	1	1	1	5	5	5	1	5	5	5	3	5	5	5	1	5	5	5	3	2	3	2	2	2	2	2	2	2	5	5	5	5	2	5	2	2	2	2	2	2	4	2	4	5
22	4	5	2	3.0	20	5	1	1	1	1	1	1	5	5	5	1	3	1	5	5	5	5	5	1	1	2	3	2	2	2	2	3	2	3	5	1	5	1	5	5	1	1	1	5	2	1	3	2	1	1
4	4	5	4	5.0	4	5	1	1	1	5	1	1	5	1	3	5	4	1	5	5	1	5	5	1	2	2	2	2	2	2	2	2	3	2	1	1	1	5	2	1	3	3	1	1	1	1	3	2	3	3
5	4	1	2	3.0	4	1	5	5	1	1	5	5	5	5	5	5	4	5	5	5	5	5	5	5	3	2	2	2	2	3	2	2	3	5	5	5	5	1	2	5	2	3	2	2	2	3	4	3	5	4
7	5	5	2	1.0	4	5	5	1	5	5	5	5	5	5	4	5	4	5	5	5	5	5	5	1	2	5	3	3	2	2	2	5	5	2	5	5	5	5	2	5	5	3	3	3	2	3	4	2	3	4
4	5	1	2	1.0	4	5	5	5	5	5	5	5	5	5	5	1	4	5	5	5	5	5	5	5	3	3	3	3	2	2	2	2	1	1	5	5	5	5	2	5	3	3	2	2	2	3	4	3	3	3
7	4	5	1	1.0	4	5	5	1	1	1	1	5	5	5	5	5	3	5	1	5	1	5	1	1	3	3	3	5	5	5	5	5	5	3	1	1	1	1	5	1	5	2	5	2	2	2	2	5	4	5
10	4	5	4	3.0	8	1	1	5	1	5	5	5	5	5	4	5	2	5	5	5	5	5	1	5	1	3	3	2	2	2	3	3	1	1	5	1	1	5	3	5	1	3	3	4	4	1	3	2	1	3
4	4	1	1	3.0	3	5	1	5	5	1	1	1	5	5	4	5	2	5	1	5	5	5	1	1	3	2	2	2	2	5	2	2	2	1	1	5	1	5	2	1	2	1	1	1	3	1	3	2	3	1
11	4	5	2	3.0	9	5	5	1	1	5	1	5	5	1	5	5	3	5	5	5	5	5	5	5	2	3	5	5	5	5	2	2	5	1	5	5	5	5	2	5	3	3	2	3	3	1	3	2	1	3
9	4	5	1	3.0	7	5	5	5	1	1	1	5	5	5	4	5	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	5	1	5	5	5	5	5	3	4	3	4	5
6	4	5	1	1.0	4	5	1	1	5	5	1	5	5	1	4	5	4	5	5	5	5	5	5	5	3	3	3	3	3	3	3	3	3	3	1	1	5	1	3	5	3	3	3	3	3	3	4	3	4	4
7	4	5	1	1.0	4	5	5	1	1	1	1	5	5	5	5	5	5	5	5	5	1	1	5	5	2	2	5	2	2	2	2	2	2	5	1	1	1	1	2	5	2	5	2	2	2	2	4	3	5	5
7	4	1	1	3.0	6	5	1	1	1	1	1	5	5	1	4	5	3	5	5	5	1	5	1	5	3	3	3	3	2	3	3	3	2	2	5	1	1	1	2	1	2	2	3	2	2	2	4	3	5	4
5	3	5	1	5.0	6	5	5	5	5	5	1	1	1	5	5	5	5	5	5	5	1	1	5	5	5	5	2	1	5	2	2	5	5	2	5	5	5	1	1	5	5	5	5	5	5	2	2	5	5	4
9	4	5	4	1.0	4	5	5	5	1	5	5	1	5	5	3	5	4	5	5	5	5	5	5	1	2	2	2	2	2	2	3	2	2	3	1	1	1	1	2	5	3	3	2	2	3	3	4	3	4	5
14	5	5	1	3.0	12	5	5	5	1	1	1	1	1	1	4	5	4	5	5	5	5	1	1	1	2	5	3	2	2	3	2	2	3	2	1	1	1	1	2	1	2	2	3	3	2	3	4	3	3	4
7	4	5	4	1.0	6	5	1	5	1	5	5	5	5	5	4	5	4	5	5	5	1	5	1	5	3	2	2	2	2	2	3	3	3	3	1	1	1	1	3	1	3	1	1	1	3	1	1	1	3	1
3	3	5	4	3.0	2	5	5	5	5	5	5	5	5	5	3	5	3	5	5	5	5	5	5	5	2	2	3	3	3	3	2	3	1	3	5	5	5	5	1	5	3	1	3	3	1	1	1	1	3	1
9	4	5	1	1.0	4	5	5	1	1	5	1	5	5	5	3	5	4	5	5	5	5	5	5	1	2	2	2	2	3	2	3	5	5	2	5	1	5	1	3	5	2	2	2	3	3	3	2	5	4	3
13	4	5	1	3.0	11	5	1	5	1	5	1	1	5	5	5	1	4	5	5	5	1	1	1	1	2	3	2	2	2	2	2	2	5	2	1	1	1	1	2	1	5	2	2	5	5	2	4	3	5	5
5	5	5	5	1.0	4	5	1	1	1	5	1	1	1	1	5	1	5	5	1	1	1	5	5	5	3	3	3	3	3	3	3	3	3	3	5	5	5	5	2	5	3	3	3	3	3	3	4	3	5	4
7	3	5	4	1.0	4	5	5	1	1	1	1	1	5	5	5	5	5	5	5	5	1	5	1	5	2	2	2	2	5	5	5	5	5	5	5	1	1	5	5	5	5	5	5	3	3	3	4	2	5	4
10	4	5	1	3.0	8	5	5	5	5	5	1	5	5	5	3	5	2	5	5	5	5	1	5	5	3	3	3	2	2	2	1	4	4	1	5	5	5	5	1	5	2	3	1	4	3	4	1	1	1	1
9	4	5	3	1.0	7	5	5	5	5	5	5	5	5	1	4	1	5	1	5	5	5	5	1	1	1	2	5	5	5	5	5	5	5	5	1	5	1	1	5	5	5	2	3	1	2	3	4	3	5	5
3	3	5	4	3.0	2	5	5	1	5	1	5	5	5	5	3	5	3	5	5	5	5	5	5	1	2	3	3	2	2	3	3	1	4	3	5	5	1	5	3	5	2	3	3	1	2	1	1	1	1	3
5	4	5	1	1.0	4	5	5	5	5	5	5	1	5	5	5	5	4	5	5	5	5	5	5	5	2	2	5	5	3	2	5	5	2	2	5	5	5	5	2	5	2	5	2	2	2	3	4	2	5	5
13	4	5	3	1.0	4	5	5	1	5	5	1	1	5	5	4	5	4	5	1	5	1	5	5	1	3	3	2	2	2	3	2	2	3	3	1	1	1	1	2	5	2	2	3	3	2	3	2	5	4	4
20	4	5	4	3.0	18	5	5	1	5	5	5	5	5	5	4	5	4	5	5	5	5	5	5	5	2	3	2	2	2	2	2	2	2	2	1	1	1	1	2	5	2	3	2	2	2	3	4	1	4	3
9	3	5	3	5.0	4	5	5	5	5	5	1	5	5	1	3	5	3	5	5	5	1	5	5	5	3	3	2	2	2	2	2	2	2	2	1	1	1	5	2	5	2	2	3	3	3	2	2	5	4	5
5	5	5	5	1.0	4	5	5	1	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	3	3	2	5	5	5	5	5	5	5	5	5	1	5	5	1	5	5	5	5	5	2	4	1	5	4
14	3	5	4	1.0	4	5	5	1	1	1	1	1	5	5	3	5	4	1	5	5	1	5	1	5	3	3	2	5	2	2	3	3	3	2	5	5	5	1	2	5	2	3	3	2	2	3	4	2	4	5
5	4	5	1	1.0	4	5	1	5	1	5	5	1	5	5	4	5	4	5	5	5	1	5	1	5	1	3	2	2	2	2	2	2	2	2	1	5	1	1	2	1	2	1	1	1	1	4	1	1	1	1
5	4	5	1	1.0	4	5	5	5	1	1	5	1	5	5	4	5	4	5	5	5	5	5	5	5	3	2	2	2	2	2	2	2	2	2	5	5	5	5	2	5	2	2	2	2	2	2	4	2	2	2
2	5	1	1	3.0	1	5	5	1	5	1	5	5	5	5	4	5	3	5	5	5	5	5	5	5	3	3	3	1	1	1	3	1	3	1	5	5	5	5	3	5	1	3	1	1	3	1	1	1	3	4
10	3	5	1	5.0	4	5	5	1	1	5	1	5	5	5	5	5	4	5	5	5	1	1	1	5	3	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	2	2	2	3	2	3	4	2	4	3
5	5	5	5	1.0	4	5	5	1	1	1	1	5	5	5	5	5	3	5	5	5	5	5	1	1	2	2	2	2	2	2	2	2	1	2	5	5	5	1	2	5	2	2	2	1	1	4	1	1	1	3
7	5	5	5	3.0	6	5	5	1	1	5	1	1	1	5	4	5	4	5	5	5	1	5	1	5	3	3	1	1	3	1	3	2	2	2	5	1	1	1	3	1	2	1	3	3	3	1	3	1	1	3
16	5	1	2	3.0	14	5	5	1	5	5	5	5	5	5	4	5	3	5	5	5	5	5	5	5	3	2	2	3	3	3	3	3	2	3	1	5	1	5	3	5	3	1	1	3	2	3	4	2	5	5
16	4	1	3	5.0	4	5	5	1	5	5	5	5	5	5	2	5	5	5	5	5	5	5	5	5	3	1	3	1	3	3	1	1	3	3	5	1	1	1	3	5	1	3	1	3	3	1	1	1	1	3
16	5	5	5	1.0	4	5	5	5	5	5	5	5	5	5	4	5	4	5	5	5	5	5	5	5	1	3	1	2	1	2	1	2	1	3	5	1	1	5	1	5	3	2	3	3	2	2	4	2	2	2
16	4	1	2	3.0	14	5	5	5	5	5	5	5	5	5	4	5	2	5	5	5	5	5	5	1	1	3	3	3	2	3	1	3	3	2	5	5	1	5	3	5	3	3	3	3	1	1	1	1	3	3
16	5	5	2	1.0	4	5	5	5	5	5	5	5	5	5	3	5	3	5	5	5	5	5	5	5	3	1	3	1	3	1	3	2	3	3	5	1	5	5	2	5	3	3	3	3	3	3	2	5	5	5
16	4	5	4	3.0	14	5	5	5	5	5	5	5	5	1	3	5	2	5	5	5	5	5	5	5	3	1	3	1	3	2	3	3	1	3	5	1	5	5	3	1	3	2	3	3	1	3	4	2	4	5
16	5	1	5	3.0	14	5	5	5	5	5	5	5	5	5	3	5	3	5	5	5	5	5	1	5	3	1	3	1	3	3	1	3	1	3	5	1	5	5	1	5	3	1	3	1	3	3	4	2	5	5
5	5	5	2	1.0	4	5	5	5	1	1	1	5	5	5	4	5	4	5	5	1	1	5	5	5	2	2	2	2	2	2	2	2	2	2	1	5	1	1	2	5	2	3	3	3	3	2	4	2	5	4
12	4	5	1	1.0	4	5	5	5	1	1	1	1	1	5	5	5	4	1	5	1	1	5	5	1	2	2	5	5	5	5	2	2	2	2	1	5	1	5	2	1	2	2	2	2	2	2	5	5	5	5
7	4	5	4	1.0	4	5	5	5	5	5	1	5	5	5	3	5	5	5	5	5	5	1	5	1	2	2	3	3	3	3	1	1	3	5	1	1	5	5	2	5	5	2	3	1	2	2	2	1	5	3
10	4	1	4	3.0	8	5	5	5	5	5	5	5	5	5	3	5	3	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	5	5	5	5	1	5	1	1	1	1	1	1	3	2	1	3
10	4	1	4	1.0	4	5	5	5	5	5	5	5	5	5	3	5	3	5	5	5	5	5	5	5	1	1	3	1	3	1	3	1	3	1	5	5	5	5	3	5	1	3	1	3	1	1	3	2	3	3
10	5	5	5	5.0	6	5	1	5	5	5	5	5	5	5	3	5	3	5	5	5	5	5	5	5	1	3	1	1	1	1	3	1	3	1	5	5	5	5	3	5	1	3	1	1	3	1	3	3	5	5
10	3	1	3	3.0	8	5	5	5	5	5	5	5	5	5	3	5	3	5	5	5	5	5	5	5	1	1	3	1	3	1	3	1	3	1	5	5	5	5	3	5	1	3	1	3	1	3	3	2	5	3
11	5	1	4	5.0	6	5	5	1	1	1	1	1	1	1	4	1	5	1	1	1	1	1	1	1	2	2	5	2	5	2	5	2	5	2	1	1	1	1	5	1	5	2	2	2	2	2	2	4	4	2
11	4	1	4	1.0	4	5	1	1	1	1	1	1	1	1	5	1	5	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	2	2	2	2	2	2	2	5	2	2
11	3	5	3	3.0	9	5	1	1	1	1	1	1	1	1	5	1	5	1	1	1	1	1	1	1	2	5	2	2	2	5	2	5	2	5	1	1	1	1	2	1	2	2	2	2	2	2	5	4	2	4
20	5	5	2	3.0	18	5	5	1	1	1	1	1	1	1	5	1	5	1	1	1	1	1	1	1	2	5	5	2	5	2	5	2	5	2	1	1	1	1	5	1	2	5	2	5	2	5	5	5	2	2
20	5	5	5	1.0	6	5	5	1	1	1	1	1	1	1	5	1	5	1	1	1	1	1	1	1	2	5	2	5	2	5	2	5	2	5	1	1	1	1	2	1	5	2	5	2	5	5	2	4	4	2
20	4	5	1	3.0	18	5	5	1	1	1	1	1	1	1	5	1	5	1	1	1	1	1	1	1	2	5	5	5	5	2	5	2	5	2	1	1	1	1	5	1	2	5	2	5	2	2	5	5	2	2
17	5	1	5	1.0	7	5	1	1	1	1	1	1	1	1	5	1	5	1	1	1	1	1	1	1	2	5	2	5	5	5	5	2	2	2	1	1	1	1	5	1	2	5	2	3	2	5	5	5	2	2
17	3	5	3	3.0	15	5	5	1	1	1	1	1	1	1	5	1	5	1	1	1	1	1	5	1	2	3	2	2	2	2	2	2	2	2	1	1	1	1	2	1	2	2	2	2	2	2	2	4	4	4
8	5	5	5	5.0	4	5	5	1	1	1	1	1	1	1	5	1	5	1	1	1	1	1	1	1	5	2	5	2	5	2	5	5	5	2	1	1	1	1	2	1	5	2	2	2	5	5	2	4	4	5
8	4	1	4	5.0	6	5	5	1	1	1	1	1	1	1	5	1	5	1	1	1	1	1	1	1	2	5	2	5	2	5	2	5	5	5	1	1	1	1	5	1	5	2	5	2	5	5	5	5	2	2
13	5	1	5	3.0	11	5	5	1	1	1	1	1	1	5	3	5	3	1	1	1	1	1	1	1	2	2	2	2	5	2	5	2	5	2	1	1	1	1	5	1	2	5	2	5	2	2	4	3	4	4
15	4	1	1	3.0	13	5	5	1	1	1	1	1	1	1	4	5	3	1	1	1	1	1	1	1	2	2	5	2	5	2	5	2	5	2	1	1	1	1	2	1	2	5	5	2	5	2	2	4	4	2
15	3	5	3	3.0	13	5	1	1	1	1	1	1	1	1	3	1	3	1	1	1	1	1	5	1	3	2	2	3	2	3	2	3	2	3	5	1	1	1	2	1	3	2	3	2	2	2	2	4	4	4
15	4	1	1	5.0	4	5	5	1	1	1	1	1	1	1	5	5	2	1	1	1	1	1	1	1	2	2	5	2	5	2	5	2	5	2	1	1	1	1	5	1	2	5	2	5	2	2	2	3	4	4
24	4	1	4	1.0	4	5	5	1	1	1	1	1	1	1	4	1	4	1	1	1	1	1	1	1	2	5	2	5	2	5	2	5	2	5	1	1	1	1	2	1	5	2	5	2	5	2	2	4	2	2
24	4	1	4	1.0	4	5	5	1	1	1	1	1	1	1	4	5	3	1	1	1	1	1	1	1	2	5	2	5	2	5	2	5	2	5	1	1	1	1	2	1	5	2	5	2	5	2	5	4	4	4
19	4	1	4	3.0	17	5	5	1	1	1	1	1	1	1	3	5	3	1	1	1	1	1	1	1	2	2	5	2	5	2	5	2	5	1	1	1	1	1	2	1	2	2	2	2	2	3	4	3	5	5
19	4	5	1	1.0	4	5	5	1	1	1	1	1	1	5	4	5	3	1	1	1	1	1	1	1	2	5	2	5	2	5	2	5	2	5	1	1	1	1	2	1	5	2	5	2	5	2	2	4	5	4
19	4	5	1	5.0	4	5	5	1	1	1	1	1	5	1	3	5	3	1	1	1	1	1	1	1	2	5	2	5	2	5	2	5	2	3	1	1	1	1	2	1	5	2	2	5	2	2	2	4	4	2
23	4	1	4	3.0	21	5	5	1	1	1	1	1	1	5	5	1	5	1	1	1	1	1	1	1	5	5	5	5	5	5	5	5	5	5	1	1	1	1	5	1	5	5	5	5	5	5	5	5	2	2
23	4	1	1	1.0	6	5	5	1	1	1	1	1	1	5	5	1	5	1	1	1	1	1	1	1	5	5	5	5	5	5	5	5	5	5	1	1	1	1	5	1	5	5	5	5	5	5	5	5	2	2
23	5	5	2	3.0	21	1	5	1	1	1	1	1	1	5	5	1	5	1	1	1	1	1	1	1	5	5	5	5	5	5	5	5	5	5	1	1	1	1	5	1	5	5	5	5	5	5	5	5	2	2
23	5	5	2	1.0	4	5	5	1	1	1	1	1	1	5	5	1	5	1	1	1	1	1	1	1	5	5	5	5	5	5	5	5	5	5	1	1	1	1	5	1	5	5	5	5	5	5	5	5	2	2
2	5	5	5	3.0	1	5	5	1	1	1	1	1	1	5	5	1	5	1	1	1	1	1	1	1	5	5	5	5	5	5	5	5	5	5	1	1	1	1	5	1	5	5	5	5	5	5	5	5	2	2
19	4	1	4	3.0	17	5	5	5	5	5	5	5	5	5	1	1	1	5	5	5	5	5	5	5	4	4	1	4	1	4	1	1	4	1	5	5	5	5	4	5	1	4	1	4	1	4	1	1	1	1
21	4	5	4	1.0	4	5	5	5	5	5	5	5	5	1	1	5	1	5	5	5	5	5	5	5	4	4	1	4	1	4	1	4	1	4	5	5	5	5	1	5	4	1	4	1	4	4	1	1	1	3
21	4	5	4	3.0	19	5	1	5	5	5	5	5	5	1	1	5	1	5	5	5	5	5	5	5	4	4	4	4	1	1	4	1	1	1	5	5	5	5	4	5	1	4	1	4	1	4	1	1	1	1
21	3	5	3	3.0	19	5	1	5	5	5	5	5	5	1	1	5	1	5	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	5	5	5	5	4	5	4	4	4	4	4	4	1	1	1	1
2	3	5	3	3.0	1	5	1	5	5	5	5	5	5	1	1	5	1	5	5	5	5	5	5	5	4	4	4	4	4	4	1	3	1	1	5	5	5	5	3	5	4	1	4	4	4	4	1	1	1	1
3	3	1	3	3.0	2	5	1	5	5	5	5	5	5	1	2	5	2	5	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	5	5	5	5	4	5	4	4	4	4	4	4	1	1	1	1
18	4	5	3	5.0	6	5	1	5	5	5	5	5	5	1	2	5	1	5	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	5	5	5	5	4	5	4	4	4	4	1	4	1	1	1	1
18	4	5	3	1.0	4	5	1	5	5	5	5	5	5	1	2	5	1	5	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	5	5	5	5	4	5	4	4	4	4	4	4	1	1	1	1
18	4	5	4	3.0	16	5	5	5	5	5	5	5	5	1	1	5	1	5	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	5	5	5	5	4	5	4	4	4	4	4	4	1	1	1	1
12	4	1	4	3.0	10	5	5	5	5	5	5	5	5	1	1	5	1	5	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	5	5	5	5	4	5	4	4	4	4	4	4	1	1	1	1
20	5	5	5	3.0	18	5	5	1	1	1	1	1	1	5	5	1	5	1	1	1	1	1	1	1	5	5	5	5	5	5	5	5	5	5	1	1	1	1	5	1	5	5	5	5	5	5	5	5	2	2
22	5	5	5	1.0	4	5	5	1	1	1	1	5	1	5	5	5	1	5	5	5	1	1	5	1	3	3	3	3	3	3	3	3	3	3	5	1	5	1	3	5	3	3	3	3	3	3	4	3	5	5
